trial	TP	TN	FP	FN	prec	sens	errorRate	AUC	expr	testFunctionalLncs	testSetSize
10	6	499	77	5	0.072289156626506	0.545454545454545	0.1396933560477	0.705886994949495	glm.poly2.weight.stats	11	1367
10	2	544	32	9	0.0588235294117647	0.181818181818182	0.0698466780238501	0.563131313131313	glm.poly2.stats	11	1367
10	8	103	473	3	0.0166320166320166	0.727272727272727	0.810902896081772	0.453046085858586	glm.main.weight.stats	11	1367
10	4	576	0	7	1	0.363636363636364	0.0119250425894378	0.845959595959594	glm.main.stats	11	1367
10	3	538	38	8	0.0731707317073171	0.272727272727273	0.0783645655877342	0.603377525252525	glm.cross.weights.stats	11	1367
10	6	548	28	5	0.176470588235294	0.545454545454545	0.0562180579216355	0.748421717171717	glm.cross.stats	11	1367
10	7	547	29	4	0.194444444444444	0.636363636363636	0.0562180579216355	0.779513888888887	lda.main.stats	11	1367
10	2	573	3	9	0.4	0.181818181818182	0.020442930153322	0.279829545454545	qda.main.stats	11	1367
10	1	559	17	10	0.0555555555555556	0.0909090909090909	0.0459965928449745	0	knn.1.stats	11	1367
10	1	575	1	10	0.5	0.0909090909090909	0.0187393526405452	0	knn.3.stats	11	1367
10	1	576	0	10	1	0.0909090909090909	0.0170357751277683	0	knn.5.stats	11	1367
10	8	2	574	3	0.013745704467354	0.727272727272727	0.982964224872232	0.365372474747475	glm.circ.weights.stats	11	1367
10	4	566	10	7	0.285714285714286	0.363636363636364	0.0289608177172062	0.673137626262626	glm.circ.stats	11	1367
10	6	557	19	5	0.24	0.545454545454545	0.040885860306644	0.836174242424241	ridge.weight.stats	11	1367
10	0	576	0	11	NA	0	0.0187393526405452	0.828282828282827	ridge.stats	11	1367
10	1	572	4	10	0.2	0.0909090909090909	0.0238500851788757	0.639046717171718	lasso.weight.stats	11	1367
10	0	576	0	11	NA	0	0.0187393526405452	0.641887626262627	lasso.stats	11	1367
9	3	528	50	6	0.0566037735849057	0.333333333333333	0.0954003407155025	0.623414071510957	glm.poly2.weight.stats	9	1367
9	3	547	31	6	0.0882352941176471	0.333333333333333	0.0630323679727428	0.639850057670127	glm.poly2.stats	9	1367
9	3	524	54	6	0.0526315789473684	0.333333333333333	0.10221465076661	0.683391003460205	glm.main.weight.stats	9	1367
9	5	576	2	4	0.714285714285714	0.555555555555556	0.010221465076661	0.825067281814693	glm.main.stats	9	1367
9	5	492	86	4	0.0549450549450549	0.555555555555556	0.153321976149915	0.703383314109958	glm.cross.weights.stats	9	1367
9	4	555	23	5	0.148148148148148	0.444444444444444	0.0477001703577513	0.702326028450596	glm.cross.stats	9	1367
9	4	542	36	5	0.1	0.444444444444444	0.0698466780238501	0.676662821991541	lda.main.stats	9	1367
9	2	575	3	7	0.4	0.222222222222222	0.0170357751277683	0.38696655132641	qda.main.stats	9	1367
9	2	567	11	7	0.153846153846154	0.222222222222222	0.030664395229983	0	knn.1.stats	9	1367
9	1	575	3	8	0.25	0.111111111111111	0.0187393526405452	0	knn.3.stats	9	1367
9	0	578	0	9	NA	0	0.0153321976149915	0	knn.5.stats	9	1367
9	8	3	575	1	0.0137221269296741	0.888888888888889	0.981260647359455	0.447039600153787	glm.circ.weights.stats	9	1367
9	4	576	2	5	0.666666666666667	0.444444444444444	0.0119250425894378	0.720492118415994	glm.circ.stats	9	1367
9	5	559	19	4	0.208333333333333	0.555555555555556	0.0391822827938672	0.884659746251441	ridge.weight.stats	9	1367
9	0	578	0	9	NA	0	0.0153321976149915	0.875816993464052	ridge.stats	9	1367
9	4	545	33	5	0.108108108108108	0.444444444444444	0.0647359454855196	0.726835832372165	lasso.weight.stats	9	1367
9	0	578	0	9	NA	0	0.0153321976149915	0.725874663590926	lasso.stats	9	1367
8	6	499	71	11	0.0779220779220779	0.352941176470588	0.1396933560477	0.614189886480908	glm.poly2.weight.stats	17	1367
8	4	553	17	13	0.19047619047619	0.235294117647059	0.051107325383305	0.602734778121775	glm.poly2.stats	17	1367
8	4	546	24	13	0.142857142857143	0.235294117647059	0.0630323679727428	0.639525283797729	glm.main.weight.stats	17	1367
8	3	569	1	14	0.75	0.176470588235294	0.0255536626916525	0.63498452012384	glm.main.stats	17	1367
8	6	518	52	11	0.103448275862069	0.352941176470588	0.10732538330494	0.630856553147575	glm.cross.weights.stats	17	1367
8	3	538	32	14	0.0857142857142857	0.176470588235294	0.0783645655877342	0.560165118679051	glm.cross.stats	17	1367
8	4	554	16	13	0.2	0.235294117647059	0.0494037478705281	0.70608875128999	lda.main.stats	17	1367
8	1	566	4	16	0.2	0.0588235294117647	0.0340715502555367	0.440402476780186	qda.main.stats	17	1367
8	2	563	7	15	0.222222222222222	0.117647058823529	0.0374787052810903	0	knn.1.stats	17	1367
8	1	570	0	16	1	0.0588235294117647	0.0272572402044293	0	knn.3.stats	17	1367
8	1	570	0	16	1	0.0588235294117647	0.0272572402044293	0	knn.5.stats	17	1367
8	4	568	2	13	0.666666666666667	0.235294117647059	0.0255536626916525	0.615892672858617	glm.circ.weights.stats	17	1367
8	2	569	1	15	0.666666666666667	0.117647058823529	0.0272572402044293	0.557946336429309	glm.circ.stats	17	1367
8	5	560	10	12	0.333333333333333	0.294117647058824	0.0374787052810903	0.686584107327143	ridge.weight.stats	17	1367
8	0	570	0	17	NA	0	0.0289608177172062	0.688544891640871	ridge.stats	17	1367
8	5	546	24	12	0.172413793103448	0.294117647058824	0.061328790459966	0.677089783281735	lasso.weight.stats	17	1367
8	0	570	0	17	NA	0	0.0289608177172062	0.675232198142417	lasso.stats	17	1367
7	7	495	76	9	0.0843373493975904	0.4375	0.144804088586031	0.652200087565674	glm.poly2.weight.stats	16	1367
7	4	550	21	12	0.16	0.25	0.0562180579216355	0.606611208406305	glm.poly2.stats	16	1367
7	8	511	60	8	0.117647058823529	0.5	0.115843270868825	0.768826619964971	glm.main.weight.stats	16	1367
7	5	568	3	11	0.625	0.3125	0.0238500851788757	0.738944833625216	glm.main.stats	16	1367
7	6	539	32	10	0.157894736842105	0.375	0.0715502555366269	0.659478984238179	glm.cross.weights.stats	16	1367
7	6	548	23	10	0.206896551724138	0.375	0.0562180579216355	0.667359894921191	glm.cross.stats	16	1367
7	5	537	34	11	0.128205128205128	0.3125	0.0766609880749574	0.580998248686515	lda.main.stats	16	1367
7	0	565	6	16	0	0	0.0374787052810903	0.26428415061296	qda.main.stats	16	1367
7	1	560	11	15	0.0833333333333333	0.0625	0.0442930153321976	0	knn.1.stats	16	1367
7	0	570	1	16	0	0	0.0289608177172062	0	knn.3.stats	16	1367
7	0	571	0	16	NA	0	0.0272572402044293	0	knn.5.stats	16	1367
7	13	4	567	3	0.0224137931034483	0.8125	0.971039182282794	0.409752626970228	glm.circ.weights.stats	16	1367
7	0	570	1	16	0	0	0.0289608177172062	0.499124343257443	glm.circ.stats	16	1367
7	6	564	7	10	0.461538461538462	0.375	0.0289608177172062	0.738944833625215	ridge.weight.stats	16	1367
7	0	571	0	16	NA	0	0.0272572402044293	0.731392294220661	ridge.stats	16	1367
7	5	564	7	11	0.416666666666667	0.3125	0.030664395229983	0.653787215411557	lasso.weight.stats	16	1367
7	0	571	0	16	NA	0	0.0272572402044293	0.644483362521889	lasso.stats	16	1367
6	4	550	29	4	0.121212121212121	0.5	0.0562180579216355	0.724956822107081	glm.poly2.weight.stats	8	1367
6	3	551	28	5	0.0967741935483871	0.375	0.0562180579216355	0.663320379965458	glm.poly2.stats	8	1367
6	6	534	45	2	0.117647058823529	0.75	0.080068143100511	0.768566493955093	glm.main.weight.stats	8	1367
6	4	577	2	4	0.666666666666667	0.5	0.010221465076661	0.811744386873916	glm.main.stats	8	1367
6	3	544	35	5	0.0789473684210526	0.375	0.0681431005110733	0.657275474956822	glm.cross.weights.stats	8	1367
6	3	553	26	5	0.103448275862069	0.375	0.0528109028960818	0.665047495682211	glm.cross.stats	8	1367
6	5	544	35	3	0.125	0.625	0.0647359454855196	0.8050518134715	lda.main.stats	8	1367
6	0	571	8	8	0	0	0.0272572402044293	0.0803108808290156	qda.main.stats	8	1367
6	1	568	11	7	0.0833333333333333	0.125	0.030664395229983	0	knn.1.stats	8	1367
6	1	576	3	7	0.25	0.125	0.0170357751277683	0	knn.3.stats	8	1367
6	1	579	0	7	1	0.125	0.0119250425894378	0	knn.5.stats	8	1367
6	3	564	15	5	0.166666666666667	0.375	0.0340715502555367	0.656735751295336	glm.circ.weights.stats	8	1367
6	3	576	3	5	0.5	0.375	0.0136286201022147	0.79835924006908	glm.circ.stats	8	1367
6	3	571	8	5	0.272727272727273	0.375	0.0221465076660988	0.87392055267703	ridge.weight.stats	8	1367
6	0	579	0	8	NA	0	0.0136286201022147	0.874568221070813	ridge.stats	8	1367
