mainEffects	reg	ratio	run	predict	TPR	TP	FP	FN	TN	AUC
TRUE	FALSE	0.5	1	0.956011730205279	0.3	15	38	27	1283	0.668353474320242
TRUE	FALSE	0.6	1	NA	0.3	0.3	38	27	1283	0.668353474320242
TRUE	FALSE	0.7	1	NA	0.3	0.3	38	27	1283	0.668353474320242
TRUE	FALSE	0.8	1	NA	0.3	0.3	38	27	1283	0.668353474320242
TRUE	FALSE	0.9	1	NA	0.3	0.3	38	27	1283	0.668353474320242
TRUE	FALSE	0.5	2	NA	0.3	0.3	38	27	1283	0.668353474320242
TRUE	FALSE	0.6	2	NA	0.3	0.3	38	27	1283	0.668353474320242
TRUE	FALSE	0.7	2	NA	0.3	0.3	38	27	1283	0.668353474320242
TRUE	FALSE	0.8	2	NA	0.3	0.3	38	27	1283	0.668353474320242
TRUE	FALSE	0.9	2	NA	0.3	0.3	38	27	1283	0.668353474320242
TRUE	FALSE	0.5	3	NA	0.3	0.3	38	27	1283	0.668353474320242
TRUE	FALSE	0.6	3	NA	0.3	0.3	38	27	1283	0.668353474320242
TRUE	FALSE	0.7	3	NA	0.3	0.3	38	27	1283	0.668353474320242
TRUE	FALSE	0.8	3	NA	0.3	0.3	38	27	1283	0.668353474320242
TRUE	FALSE	0.9	3	NA	0.3	0.3	38	27	1283	0.668353474320242
TRUE	FALSE	0.5	4	NA	0.3	0.3	38	27	1283	0.668353474320242
TRUE	FALSE	0.6	4	NA	0.3	0.3	38	27	1283	0.668353474320242
TRUE	FALSE	0.7	4	NA	0.3	0.3	38	27	1283	0.668353474320242
TRUE	FALSE	0.8	4	NA	0.3	0.3	38	27	1283	0.668353474320242
TRUE	FALSE	0.9	4	NA	0.3	0.3	38	27	1283	0.668353474320242
TRUE	FALSE	0.5	5	NA	0.3	0.3	38	27	1283	0.668353474320242
TRUE	FALSE	0.6	5	NA	0.3	0.3	38	27	1283	0.668353474320242
TRUE	FALSE	0.7	5	NA	0.3	0.3	38	27	1283	0.668353474320242
TRUE	FALSE	0.8	5	NA	0.3	0.3	38	27	1283	0.668353474320242
TRUE	FALSE	0.9	5	NA	0.3	0.3	38	27	1283	0.668353474320242
TRUE	FALSE	0.5	6	NA	0.3	0.3	38	27	1283	0.668353474320242
TRUE	FALSE	0.6	6	NA	0.3	0.3	38	27	1283	0.668353474320242
TRUE	FALSE	0.7	6	NA	0.3	0.3	38	27	1283	0.668353474320242
TRUE	FALSE	0.8	6	NA	0.3	0.3	38	27	1283	0.668353474320242
TRUE	FALSE	0.9	6	NA	0.3	0.3	38	27	1283	0.668353474320242
TRUE	FALSE	0.5	7	NA	0.3	0.3	38	27	1283	0.668353474320242
TRUE	FALSE	0.6	7	NA	0.3	0.3	38	27	1283	0.668353474320242
TRUE	FALSE	0.7	7	NA	0.3	0.3	38	27	1283	0.668353474320242
TRUE	FALSE	0.8	7	NA	0.3	0.3	38	27	1283	0.668353474320242
TRUE	FALSE	0.9	7	NA	0.3	0.3	38	27	1283	0.668353474320242
TRUE	FALSE	0.5	8	NA	0.3	0.3	38	27	1283	0.668353474320242
TRUE	FALSE	0.6	8	NA	0.3	0.3	38	27	1283	0.668353474320242
TRUE	FALSE	0.7	8	NA	0.3	0.3	38	27	1283	0.668353474320242
TRUE	FALSE	0.8	8	NA	0.3	0.3	38	27	1283	0.668353474320242
TRUE	FALSE	0.9	8	NA	0.3	0.3	38	27	1283	0.668353474320242
TRUE	FALSE	0.5	9	NA	0.3	0.3	38	27	1283	0.668353474320242
TRUE	FALSE	0.6	9	NA	0.3	0.3	38	27	1283	0.668353474320242
TRUE	FALSE	0.7	9	NA	0.3	0.3	38	27	1283	0.668353474320242
TRUE	FALSE	0.8	9	NA	0.3	0.3	38	27	1283	0.668353474320242
TRUE	FALSE	0.9	9	NA	0.3	0.3	38	27	1283	0.668353474320242
TRUE	FALSE	0.5	10	NA	0.3	0.3	38	27	1283	0.668353474320242
TRUE	FALSE	0.6	10	NA	0.3	0.3	38	27	1283	0.668353474320242
TRUE	FALSE	0.7	10	NA	0.3	0.3	38	27	1283	0.668353474320242
TRUE	FALSE	0.8	10	NA	0.3	0.3	38	27	1283	0.668353474320242
TRUE	FALSE	0.9	10	NA	0.3	0.3	38	27	1283	0.668353474320242
