chr1	19554	27554	ENST00000473358.1	0	+
chr1	20267	28267	ENST00000469289.1	0	+
chr1	122932	130932	ENST00000466430.1	0	-
chr1	93105	101105	ENST00000495576.1	0	-
chr1	131217	139217	ENST00000477740.1	0	-
chr1	131173	139173	ENST00000471248.1	0	-
chr1	135566	143566	ENST00000453576.2	0	-
chr1	142339	150339	ENST00000493797.1	0	-
chr1	151707	159707	ENST00000484859.1	0	-
chr1	148831	156831	ENST00000490997.1	0	-
chr1	150446	158446	ENST00000496488.1	0	+
chr1	175864	183864	ENST00000466557.1	0	-
chr1	170767	178767	ENST00000491962.1	0	-
chr1	236484	244484	ENST00000442116.1	0	-
chr1	240558	248558	ENST00000448958.1	0	-
chr1	269253	277253	ENST00000424587.1	0	-
chr1	261121	269121	ENST00000335577.4	0	-
chr1	307811	315811	ENST00000426316.1	0	+
chr1	310162	318162	ENST00000432964.1	0	+
chr1	310162	318162	ENST00000423728.1	0	+
chr1	312037	320037	ENST00000440038.1	0	+
chr1	312732	320732	ENST00000419160.1	0	+
chr1	314438	322438	ENST00000534867.1	0	+
chr1	314515	322515	ENST00000456623.1	0	+
chr1	314756	322756	ENST00000425496.2	0	+
chr1	462480	470480	ENST00000450983.1	0	-
chr1	462465	470465	ENST00000412666.1	0	-
chr1	449656	457656	ENST00000441866.1	0	+
chr1	525833	533833	ENST00000417636.1	0	-
chr1	513009	521009	ENST00000423796.1	0	+
chr1	513048	521048	ENST00000450696.1	0	+
chr1	519833	527833	ENST00000440196.1	0	+
chr1	519839	527839	ENST00000357876.4	0	+
chr1	657580	665580	ENST00000440200.1	0	-
chr1	566390	574390	ENST00000452176.1	0	-
chr1	657530	665530	ENST00000441245.1	0	-
chr1	657574	665574	ENST00000419394.1	0	-
chr1	657580	665580	ENST00000448605.1	0	-
chr1	657580	665580	ENST00000414688.1	0	-
chr1	661930	669930	ENST00000447954.1	0	-
chr1	687396	695396	ENST00000416385.1	0	-
chr1	702305	710305	ENST00000417659.1	0	-
chr1	686291	694291	ENST00000422528.1	0	+
chr1	716006	724006	ENST00000428504.1	0	-
chr1	704162	712162	ENST00000457084.1	0	+
chr1	704436	712436	ENST00000429505.1	0	+
chr1	707325	715325	ENST00000434264.1	0	+
chr1	747541	755541	ENST00000447500.1	0	-
chr1	730179	738179	ENST00000443772.1	0	+
chr1	730312	738312	ENST00000412115.1	0	+
chr1	755092	763092	ENST00000435300.1	0	-
chr1	742751	750751	ENST00000326734.1	0	+
chr1	764902	772902	ENST00000473798.1	0	-
chr1	764886	772886	ENST00000536430.1	0	-
chr1	752988	760988	ENST00000445118.1	0	+
chr1	753047	761047	ENST00000441765.1	0	+
chr1	753053	761053	ENST00000449005.1	0	+
chr1	753079	761079	ENST00000416570.1	0	+
chr1	756985	764985	ENST00000415295.1	0	+
chr1	773054	781054	ENST00000448975.1	0	+
chr1	776728	784728	ENST00000425657.1	0	+
chr1	814283	822283	ENST00000446136.1	0	-
chr1	807581	815581	ENST00000432963.1	0	-
chr1	814182	822182	ENST00000427857.1	0	-
chr1	836815	844815	ENST00000448179.1	0	+
chr1	839551	847551	ENST00000398216.2	0	+
chr1	950573	958573	ENST00000458555.1	0	-
chr1	1062397	1070397	ENST00000416774.1	0	+
chr1	1116935	1124935	ENST00000379317.1	0	-
chr1	1256069	1264069	ENST00000444968.1	0	-
chr1	1324902	1332902	ENST00000448629.2	0	+
chr1	1324902	1332902	ENST00000447725.1	0	+
chr1	1324907	1332907	ENST00000444362.1	0	+
chr1	1324910	1332910	ENST00000418833.1	0	+
chr1	1325799	1333799	ENST00000453521.1	0	+
chr1	1345625	1353625	ENST00000428932.1	0	+
chr1	1365179	1373179	ENST00000439191.1	0	-
chr1	1353502	1361502	ENST00000366395.2	0	+
chr1	1367635	1375635	ENST00000428781.1	0	-
chr1	1371953	1379953	ENST00000430109.1	0	-
chr1	1369223	1377223	ENST00000434150.1	0	-
chr1	1371868	1379868	ENST00000454562.1	0	-
chr1	1371900	1379900	ENST00000417917.1	0	-
chr1	1525819	1533819	ENST00000502203.1	0	+
chr1	1646054	1654054	ENST00000417099.1	0	+
chr1	1653993	1661993	ENST00000424604.1	0	+
chr1	1812910	1820910	ENST00000412228.1	0	+
chr1	1948969	1956969	ENST00000443930.1	0	-
chr1	1983090	1991090	ENST00000445600.1	0	-
chr1	1983509	1991509	ENST00000449154.1	0	-
chr1	2117314	2125314	ENST00000333854.2	0	-
chr1	2117492	2125492	ENST00000536678.1	0	-
chr1	2117828	2125828	ENST00000444529.1	0	-
chr1	2347419	2355419	ENST00000420406.1	0	+
chr1	2426697	2434697	ENST00000424657.1	0	-
chr1	2427918	2435918	ENST00000442305.1	0	-
chr1	2485545	2493545	ENST00000449660.1	0	-
chr1	2487684	2495684	ENST00000443892.2	0	-
chr1	2490450	2498450	ENST00000416860.2	0	-
chr1	2485037	2493037	ENST00000448624.2	0	-
chr1	2487589	2495589	ENST00000432521.2	0	-
chr1	2490470	2498470	ENST00000452793.1	0	-
chr1	2487849	2495849	ENST00000456687.2	0	+
chr1	2502999	2510999	ENST00000424215.1	0	+
chr1	2554007	2562007	ENST00000427302.1	0	+
chr1	2731257	2739257	ENST00000457440.1	0	-
chr1	2733563	2741563	ENST00000429389.1	0	-
chr1	2982350	2990350	ENST00000321399.3	0	-
chr1	2980315	2988315	ENST00000413472.1	0	-
chr1	2980596	2988596	ENST00000453118.1	0	-
chr1	2987001	2995001	ENST00000445317.1	0	-
chr1	2982246	2990246	ENST00000415573.1	0	-
chr1	2986333	2994333	ENST00000321336.1	0	-
chr1	3052273	3060273	ENST00000440516.1	0	-
chr1	3543307	3551307	ENST00000435049.1	0	-
chr1	3587336	3595336	ENST00000443034.1	0	-
chr1	3632862	3640862	ENST00000416554.1	0	-
chr1	3665340	3673340	ENST00000418088.1	0	-
chr1	3665886	3673886	ENST00000452079.1	0	-
chr1	3656439	3664439	ENST00000419973.1	0	-
chr1	3665900	3673900	ENST00000423764.1	0	-
chr1	3664802	3672802	ENST00000544565.1	0	-
chr1	3679352	3687352	ENST00000444870.2	0	+
chr1	3679389	3687389	ENST00000452264.1	0	+
chr1	3806936	3814936	ENST00000413332.1	0	+
chr1	3806968	3814968	ENST00000442673.1	0	+
chr1	3806980	3814980	ENST00000439488.1	0	+
chr1	3990673	3998673	ENST00000456897.1	0	+
chr1	3990677	3998677	ENST00000412674.1	0	+
chr1	4011040	4019040	ENST00000425194.1	0	-
chr1	4462111	4470111	ENST00000423197.1	0	+
chr1	4601795	4609795	ENST00000438791.1	0	+
